Interpacket Timing,Device
0.027503,ihealth_bpm
0.022005,ihealth_bpm
0.005499,ihealth_bpm
0.027504,ihealth_bpm
0.005499,ihealth_bpm
0.011002,ihealth_bpm
0.005502,ihealth_bpm
0.022002,ihealth_bpm
0.006197,ihealth_bpm
0.015134,ihealth_bpm
0.005429,ihealth_bpm
0.01925,ihealth_bpm
0.005498,ihealth_bpm
0.016502,ihealth_bpm
0.0055,ihealth_bpm
0.030255,ihealth_bpm
0.022004,ihealth_bpm
0.005501,ihealth_bpm
0.019252,ihealth_bpm
0.005501,ihealth_bpm
0.016501,ihealth_bpm
0.005502,ihealth_bpm
0.016504,ihealth_bpm
0.005498,ihealth_bpm
0.022004,ihealth_bpm
0.030253,ihealth_bpm
0.024754,ihealth_bpm
0.027514,ihealth_bpm
0.019244,ihealth_bpm
0.005499,ihealth_bpm
0.016505,ihealth_bpm
0.005499,ihealth_bpm
0.046756,ihealth_bpm
0.005504,ihealth_bpm
0.013756,ihealth_bpm
0.005495,ihealth_bpm
0.016501,ihealth_bpm
0.0055,ihealth_bpm
0.019253,ihealth_bpm
0.005502,ihealth_bpm
0.016501,ihealth_bpm
0.005502,ihealth_bpm
0.024909,ihealth_bpm
0.005387,ihealth_bpm
0.021961,ihealth_bpm
0.019252,ihealth_bpm
0.005501,ihealth_bpm
0.013751,ihealth_bpm
0.005502,ihealth_bpm
0.01651,ihealth_bpm
0.005494,ihealth_bpm
0.016537,ihealth_bpm
0.005465,ihealth_bpm
0.024752,ihealth_bpm
0.005502,ihealth_bpm
0.011001,ihealth_bpm
0.005501,ihealth_bpm
0.016503,ihealth_bpm
0.0055,ihealth_bpm
0.022006,ihealth_bpm
0.005498,ihealth_bpm
0.019253,ihealth_bpm
0.049506,ihealth_bpm
0.005539,ihealth_bpm
0.024718,ihealth_bpm
0.022001,ihealth_bpm
0.005501,ihealth_bpm
0.016502,ihealth_bpm
0.0055,ihealth_bpm
0.024791,ihealth_bpm
0.005465,ihealth_bpm
0.022001,ihealth_bpm
0.005502,ihealth_bpm
0.016502,ihealth_bpm
0.005501,ihealth_bpm
0.016535,ihealth_bpm
0.005504,ihealth_bpm
0.021968,ihealth_bpm
0.005597,ihealth_bpm
0.021912,ihealth_bpm
0.005497,ihealth_bpm
0.016503,ihealth_bpm
0.005501,ihealth_bpm
0.016502,ihealth_bpm
0.005536,ihealth_bpm
0.024717,ihealth_bpm
0.005502,ihealth_bpm
0.041256,ihealth_bpm
0.005536,ihealth_bpm
0.024719,ihealth_bpm
0.005498,ihealth_bpm
0.011003,ihealth_bpm
0.005499,ihealth_bpm
0.022005,ihealth_bpm
0.005499,ihealth_bpm
0.022006,ihealth_bpm
0.0275,ihealth_bpm
0.005502,ihealth_bpm
0.022009,ihealth_bpm
0.005494,ihealth_bpm
0.024753,ihealth_bpm
0.005537,ihealth_bpm
0.024717,ihealth_bpm
0.005501,ihealth_bpm
0.016502,ihealth_bpm
0.022004,ihealth_bpm
0.024753,ihealth_bpm
0.005504,ihealth_bpm
0.019251,ihealth_bpm
0.005499,ihealth_bpm
0.016502,ihealth_bpm
0.019252,ihealth_bpm
0.03026,ihealth_bpm
0.022014,ihealth_bpm
0.049494,ihealth_bpm
0.024752,ihealth_bpm
0.027503,ihealth_bpm
0.024753,ihealth_bpm
0.022006,ihealth_bpm
0.022001,ihealth_bpm
0.022004,ihealth_bpm
0.030252,ihealth_bpm
0.027504,ihealth_bpm
0.024753,ihealth_bpm
0.027506,ihealth_bpm
0.0165,ihealth_bpm
0.024754,ihealth_bpm
0.024755,ihealth_bpm
0.027502,ihealth_bpm
0.022004,ihealth_bpm
0.024753,ihealth_bpm
0.024756,ihealth_bpm
0.024789,ihealth_bpm
0.021969,ihealth_bpm
0.041253,ihealth_bpm
0.022007,ihealth_bpm
0.005497,ihealth_bpm
0.019254,ihealth_bpm
0.027504,ihealth_bpm
0.02754,ihealth_bpm
0.024717,ihealth_bpm
0.022,ihealth_bpm
0.030257,ihealth_bpm
0.02204,ihealth_bpm
0.027466,ihealth_bpm
0.027503,ihealth_bpm
0.022023,ihealth_bpm
0.005484,ihealth_bpm
0.022001,ihealth_bpm
0.00275,ihealth_bpm
0.019253,ihealth_bpm
0.005501,ihealth_bpm
0.024754,ihealth_bpm
0.024753,ihealth_bpm
0.01937,ihealth_bpm
0.030136,ihealth_bpm
0.030257,ihealth_bpm
0.033003,ihealth_bpm
0.019253,ihealth_bpm
0.049506,ihealth_bpm
0.019253,ihealth_bpm
0.033005,ihealth_bpm
0.013788,ihealth_bpm
0.027467,ihealth_bpm
0.022003,ihealth_bpm
0.005501,ihealth_bpm
0.016502,ihealth_bpm
0.02754,ihealth_bpm
0.024718,ihealth_bpm
0.027505,ihealth_bpm
0.005501,ihealth_bpm
0.016501,ihealth_bpm
0.019253,ihealth_bpm
0.030253,ihealth_bpm
0.005502,ihealth_bpm
0.038509,ihealth_bpm
0.024749,ihealth_bpm
0.022001,ihealth_bpm
0.005509,ihealth_bpm
0.024746,ihealth_bpm
0.005502,ihealth_bpm
0.024752,ihealth_bpm
0.024753,ihealth_bpm
0.002751,ihealth_bpm
0.019253,ihealth_bpm
0.022002,ihealth_bpm
0.033005,ihealth_bpm
0.030254,ihealth_bpm
0.019253,ihealth_bpm
0.027505,ihealth_bpm
0.024752,ihealth_bpm
0.022004,ihealth_bpm
0.030254,ihealth_bpm
0.022002,ihealth_bpm
0.005501,ihealth_bpm
0.019253,ihealth_bpm
0.019253,ihealth_bpm
0.005505,ihealth_bpm
0.019249,ihealth_bpm
0.019252,ihealth_bpm
0.005501,ihealth_bpm
0.024806,ihealth_bpm
0.005509,ihealth_bpm
0.013693,ihealth_bpm
0.024751,ihealth_bpm
0.024754,ihealth_bpm
0.022003,ihealth_bpm
0.005569,ihealth_bpm
0.016497,ihealth_bpm
0.027497,ihealth_bpm
0.022006,ihealth_bpm
0.027502,ihealth_bpm
0.027495,ihealth_bpm
0.030251,ihealth_bpm
0.024749,ihealth_bpm
0.005501,ihealth_bpm
0.024757,ihealth_bpm
0.002754,ihealth_bpm
0.022002,ihealth_bpm
0.049506,ihealth_bpm
0.027521,ihealth_bpm
0.021984,ihealth_bpm
0.027505,ihealth_bpm
0.019289,ihealth_bpm
0.027567,ihealth_bpm
0.027442,ihealth_bpm
0.021972,ihealth_bpm
0.021994,ihealth_bpm
0.022005,ihealth_bpm
0.024745,ihealth_bpm
0.005496,ihealth_bpm
0.022007,ihealth_bpm
0.03025,ihealth_bpm
0.019253,ihealth_bpm
0.005519,ihealth_bpm
0.05225,ihealth_bpm
0.019252,ihealth_bpm
0.024783,ihealth_bpm
0.052231,ihealth_bpm
0.024754,ihealth_bpm
0.005497,ihealth_bpm
0.016503,ihealth_bpm
0.024756,ihealth_bpm
0.024756,ihealth_bpm
0.01925,ihealth_bpm
0.005501,ihealth_bpm
0.0165,ihealth_bpm
0.027608,ihealth_bpm
0.024664,ihealth_bpm
0.041243,ihealth_bpm
0.030236,ihealth_bpm
0.002754,ihealth_bpm
0.022,ihealth_bpm
0.024753,ihealth_bpm
0.00554,ihealth_bpm
0.016467,ihealth_bpm
0.005497,ihealth_bpm
0.016523,ihealth_bpm
0.027503,ihealth_bpm
0.024752,ihealth_bpm
0.03301,ihealth_bpm
0.022,ihealth_bpm
0.022005,ihealth_bpm
0.005499,ihealth_bpm
0.016501,ihealth_bpm
0.02476,ihealth_bpm
0.022001,ihealth_bpm
0.005497,ihealth_bpm
0.013755,ihealth_bpm
0.021995,ihealth_bpm
0.019257,ihealth_bpm
0.022013,ihealth_bpm
0.038578,ihealth_bpm
0.016418,ihealth_bpm
0.019252,ihealth_bpm
0.019254,ihealth_bpm
0.024756,ihealth_bpm
0.024731,ihealth_bpm
0.022005,ihealth_bpm
0.01925,ihealth_bpm
0.077032,ihealth_bpm
0.030252,ihealth_bpm
0.027525,ihealth_bpm
0.016479,ihealth_bpm
0.024756,ihealth_bpm
0.027502,ihealth_bpm
0.005508,ihealth_bpm
0.019246,ihealth_bpm
0.002792,ihealth_bpm
0.024713,ihealth_bpm
0.022001,ihealth_bpm
0.024753,ihealth_bpm
0.005504,ihealth_bpm
0.016503,ihealth_bpm
0.030253,ihealth_bpm
0.034328,ihealth_bpm
0.027433,ihealth_bpm
0.005499,ihealth_bpm
